wdid,name,wdLabel,gender,dob,dobPrecision,source,sourceDate,pid,position,psid
Q109779342,Carlson D. Apis,Carlson D. Apis,male,,,https://gov.fm/index.php/national-government/executive,2021-11-28,Q109779154,"Secretary, Dept. of Transportation, Communications & Infrastructure",Q109779342-239FE6DE-8473-46E6-953F-C2EAAA8DD14C
Q109779412,Rufino Mauricio,Rufino Mauricio,male,,,https://gov.fm/index.php/national-government/executive,2021-11-28,Q109779413,"Director, Office of National Archives, Culture & Historic Preservations",Q109779412-6AAAE0CC-BC87-4A6B-B361-02FDAF0A7A8A
Q109779430,Eugene Amor,Eugene Amor,male,,,https://gov.fm/index.php/national-government/executive,2021-11-28,Q109779431,"Secretary, Dept. of Finance & Administration",Q109779430-3B270A35-D065-4791-85C1-E99ADB597BCD
Q109779446,Gardenia Aisek,Gardenia Aisek,female,,,https://gov.fm/index.php/national-government/executive,2021-11-28,Q109779449,"Secretary, Department of Education",Q109779446-D162209D-DCAF-44AA-8BDD-DFE07C62DD27
Q109779458,Marcus Samo,Marcus Samo,male,,,https://gov.fm/index.php/national-government/executive,2021-11-28,Q109779460,"Secretary, Department of Health & Social Affairs",Q109779458-BBF3F260-6CE0-4FB1-A08D-FE1259798B52
Q109779483,Elina Akinaga,Elina Akinaga,female,,,,,Q109779082,Secretary of Resources and Development,Q109779483-44DDDDA8-E42B-414C-AF1D-07EA99502DC8
Q109779509,Joses R. Gallen,Joses R. Gallen,male,,,https://gov.fm/index.php/national-government/executive,2021-11-28,Q55648617,"Secretary, Department of Justice",Q109779509-D5F8FCB2-EAC8-47C3-98AF-5BE414436993
Q109779535,Ginger Porter Mida,Ginger Porter Mida,female,,,https://gov.fm/index.php/national-government/executive,2021-11-28,Q109779536,"Post Master General, FSM Postal Services",Q109779535-220BD363-E0E3-4E7A-B36F-F191D64037BC
Q109779586,Andrew Yatilman,Andrew Yatilman,male,,,https://gov.fm/index.php/national-government/executive,2021-11-28,Q109779587,"Secretary, Department of Environment & Emergency Management",Q109779586-920DD9B9-1689-406E-986A-DD2F7455BA62
Q23302699,Yosiwo P. George,Yosiwo P. George,male,1941-01-01,9,https://gov.fm/index.php/national-government/executive,2021-11-28,Q1255026,Vice President of the FSM,Q23302699-A0DC9957-85E2-48ED-A7FE-2D37379E273D
Q63872093,David W. Panuelo,David W. Panuelo,male,1964-04-13,11,https://gov.fm/index.php/national-government/executive,2021-11-28,Q30133416,President of the FSM,Q63872093-4AD2E2DB-8EE0-4017-BF4F-1D710EA5D120
Q97580941,Kandhi A. Elieisar,Kandhi A. Elieisar,male,,,https://gov.fm/index.php/national-government/executive,2021-11-28,Q109779095,"Secretary, Department of Foreign Affairs",Q97580941-5ED7E7C1-824E-4624-A037-23FC684927D5
