position,person,personID,start,end
President,Leo Falcam,Q448296,1999-05-11,2003-05-11
President,Joseph Urusemal,Q435427,2003-05-11,2007-05-11
President,Manny Mori,Q57499,2007-05-11,2015-05-11
President,Peter M. Christian,Q19921375,2015-05-11,2019-05-11
President,David W. Panuelo,Q63872093,2019-05-11,
Vice President,Redley A. Killion,Q7306049,1999-05-11,2007-05-11
Vice President,Alik L. Alik,Q1283214,2007-05-11,2015-05-11
Vice President,Yosiwo P. George,Q23302699,2015-05-11,
Secretary of Education,Gardenia Aisek,Q109779446,2021-10-08,
Secretary of Environment and Emergency Management,Andrew Yatilman,Q109779586,2019-08-16,
Secretary of Finance and Administration,Eugene Amor,Q109779430,2019-12-23,
Secretary of Foreign Affairs,Lorin S. Robert,Q109779093,2007-07-20,2019
Secretary of Foreign Affairs,Kandhi A. Elieisar,Q97580941,2020-01-23,
Secretary of Health and Social Affairs,Marcus Samo,Q109779458,2021-10-08,
Secretary of Justice (Micronesia),Joses R. Gallen,Q109779509,2015-05-28,
Secretary of Resources and Development,Marion Henry,Q109779081,2010-08-13,2021-03
Secretary of Resources and Development,Elina Akinaga,Q109779483,2021-10-08,
"Secretary of Transportation, Communication and Infrastructure",Lukner Weilbacher,Q109779153,2015,2019
"Secretary of Transportation, Communication and Infrastructure",Carlson D. Apis,Q109779342,2019-11-25,
"Director of National Archives, Culture and Historic Preservations",Rufino Mauricio,Q109779412,2019-12-23,
Post Master General,Ginger Porter Mida,Q109779535,2020-01-23,
Speaker of the Congress,Wesley Simina,Q7984081,2015-05-11,
