id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q30133416,President of the Federated States of Micronesia,Q702,Q702,,Q1262113,,,,,
Q1255026,Vice President of the Federated States of Micronesia,Q702,,,,,,,,Vice President of the Federated States of Micronesia
Q109779449,Secretary of Education,,Q702,,,,,,,
Q109779587,Secretary of Environment and Emergency Management,,Q702,,,,,,,
Q109779431,Secretary of Finance and Administration,,Q702,,,,,,,
Q109779095,Secretary of Foreign Affairs,Q702,Q702,,,,,,,
Q109779460,Secretary of Health and Social Affairs,,Q702,,,,,,,
Q55648617,Secretary of Justice (Micronesia),,,,,,,,,Secretary of Justice (Micronesia)
Q109779082,Secretary of Resources and Development,Q702,Q702,,,,,,,
Q109779154,"Secretary of Transportation, Communication and Infrastructure",,Q702,,,,,,,
Q109779413,"Director of National Archives, Culture & Historic Preservations",,Q702,,,,,,,
Q109779536,Post Master General of FSM,,Q702,,,,,,,
Q108873282,Speaker of the Congress of the Federated States of Micronesia,,Q702,,,,,,,
