position,title
Q30133416,President
Q1255026,Vice President
Q109779449,Secretary of Education
Q109779587,Secretary of Environment and Emergency Management
Q109779431,Secretary of Finance and Administration
Q109779095,Secretary of Foreign Affairs
Q109779460,Secretary of Health and Social Affairs
Q55648617,Secretary of Justice (Micronesia)
Q109779082,Secretary of Resources and Development
Q109779154,"Secretary of Transportation, Communication and Infrastructure"
Q109779413,"Director of National Archives, Culture and Historic Preservations"
Q109779536,Post Master General
Q108873282,Speaker of the Congress
